,id,name,category,rating,reviews,price,zipcode,latitude,longitude,city,address1,address2,address3,display_address
0,fR-pJ6nUn1bjPuT6lS2bsQ,The Brazen Head,pubs,4.0,739,€€,8,53.3449703134157,-6.27632976725063,Dublin,20 Bridge Street Lower,,,"['20 Bridge Street Lower', 'Dublin 8', 'Republic of Ireland']"
1,A-HzqcGJVTwHVFTVH_LlPA,The Temple Bar,pubs,4.0,550,€€,2,53.3455,-6.26419,Dublin,47/48 Temple Bar,Temple Bar,,"['47/48 Temple Bar', 'Temple Bar', 'Dublin 2', 'Republic of Ireland']"
2,rKvPQZcgjrQOLRU0phPoAQ,Queen of Tarts,desserts,4.5,511,€€,2,53.3441209863508,-6.26752853393555,Dublin,Cork Hill,Dame Street,,"['Cork Hill', 'Dame Street', 'Dublin 2', 'Republic of Ireland']"
3,_449xLONUU9nAUzCja2bNA,The Porterhouse Temple Bar,pubs,4.0,369,€€,2,53.3451,-6.26755,Dublin,16-18 Parliament Street,,,"['16-18 Parliament Street', 'Dublin 2', 'Republic of Ireland']"
4,-VIve-QeHR9-cKr7QldqtA,Elephant & Castle,tradamerican,4.0,345,€€,2,53.3456,-6.26247,Dublin,18 Temple Bar,,,"['18 Temple Bar', 'Dublin 2', 'Republic of Ireland']"
5,ZdZNRZ1OdQ1MYfaK0vsbNw,Cornucopia,vegan,4.5,334,€€,2,53.343099,-6.2613902,Dublin,19/20 Wicklow Street,,,"['19/20 Wicklow Street', 'Dublin 2', 'Republic of Ireland']"
6,DM0Tcka4QpP4YqCfJ5nL1g,Brother Hubbard,mideastern,4.5,329,€€,1,53.34709,-6.26849,Dublin,153 Capel Street,,,"['153 Capel Street', 'Dublin 1', 'Republic of Ireland']"
7,FN-vhNo6xdV1D-QnhWVUIg,O'Neills Bar & Restaurant,irish,3.5,281,€€,2,53.3439,-6.2606,Dublin,2 Suffolk Street,,,"['2 Suffolk Street', 'Dublin 2', 'Republic of Ireland']"
8,UaAhqutmYBbVn9NEG8Xr3A,The Church,bars,3.5,271,€€,1,53.3486196,-6.2667007,Dublin,Jervis Street,,,"['Jervis Street', 'Dublin 1', 'Republic of Ireland']"
9,GPdeOr93UfNmHT7uSAKxGw,Bull & Castle,pubs,4.0,261,€€€,8,53.3433964558075,-6.2702535689594,Christchurch,5-7 Lord Edward Street,,,"['5-7 Lord Edward Street', 'Christchurch, 8', 'Republic of Ireland']"
10,LG37RcSre8vSlS-5uJE2DA,The Bakehouse,bakeries,4.5,261,€,1,53.3468856,-6.262582,Dublin,6 Bachelors Walk,,,"['6 Bachelors Walk', 'Dublin 1', 'Republic of Ireland']"
11,feOIcCabfwn6PIK4KDwJog,Fallon & Byrne,delis,4.0,234,€€€,2,53.343141198853,-6.26336171749372,Dublin,11-17 Exchequer Street,,,"['11-17 Exchequer Street', 'Dublin 2', 'Republic of Ireland']"
12,i3nT04qssB8Tv_SbmzIR8A,Leo Burdock,hotdogs,4.0,225,€,8,53.343071,-6.27,Dublin,2 Werburgh Street,Christchurch,,"['2 Werburgh Street', 'Christchurch', 'Dublin 8', 'Republic of Ireland']"
13,iNk7KmI1j-tfPGSNs6RXvg,The Pig's Ear,bistros,4.5,223,€€€,2,53.3423,-6.25476,Dublin,4 Nassau Street,,,"['4 Nassau Street', 'Dublin 2', 'Republic of Ireland']"
14,BfhW8Zz-6WqRzzMGbJRV4w,Bunsen,burgers,4.0,217,€€,2,53.3372192,-6.2659775,Dublin,36 Wexford Street,,,"['36 Wexford Street', 'Dublin 2', 'Republic of Ireland']"
15,kafoFLgCD3RFaBr3YPY18Q,Oliver St John Gogarty,pubs,3.5,215,€€,2,53.34563,-6.26084,Temple Bar,58-59 Fleet Street,,,"['58-59 Fleet Street', 'Temple Bar, 2', 'Republic of Ireland']"
16,6SZCGWMACsF-n1cMlKByzg,Hatch and Sons,cafes,4.0,209,€€,2,53.339489,-6.258318,Dublin,15 St Stephen's Green,,,"[""15 St Stephen's Green"", 'Dublin 2', 'Republic of Ireland']"
17,C8OBlgcbvZ3BaSihRjwwxg,The Winding Stair,irish,4.0,206,€€€,1,53.3466529,-6.2637166,Dublin,40 Ormond Quay Lower,,,"['40 Ormond Quay Lower', 'Dublin 1', 'Republic of Ireland']"
