num,user_id,user_name,datetime,business_id,business_name,text
0,fTqlWcqiFIVNrfXbF6C2mw,Peter W.,30/4/2022,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"Charming location, charming service, delicious food.  I had   sweet pota  soup   chicken s wich combo   hearty, healthy,   soul warming. Perfect food for an impromptu picnic at nearby St. Stephen's Green..."
1,d_TBs6J3twMy9GChqUEXkg,Jennifer O.,26/6/2021,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"I ate here precovid, I tried  ir br ket s wich     was very tasty.   portion was large     price wasn't bad. Th  place   super busy, so expect  m   run out of  ems as   day goes on."
2,8DwIFAcbzhwnZdd7LC_JuQ,Brad D.,24/6/2022,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,Just Perfect Food w h a smile.  What else could   want?    prices   reasonable   portions generous.
3,lWcyfDKDlHSk3yclJ-tkiw,Mark G.,9/8/2019,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"Yummy healthy food.  Great soups.  Vegan, Ve arian,   Whole Food Plant Based options.    order at   counter    y bring     food.

Ano r great healthy restaurant in Dublin Irel .

Nice choice of drinks as well.

If I lived in Irel  I would go here all   time."
4,LfgC6aypR9dnH6oSceMP9g,JI X.,17/9/2019,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"Th       st s wich I've ever had. Although  's a takeaway shop,  's worth miles walking   go  re. We ordered chicken    ef s wiches   cups of latte   Americano.  y   all great!   s wiches come in big size     staff has considerately cut  m in  two. Each s wich has  s own components.   chicken one has a sweet taste   I think  re's mint in   (wow)!    st part  ,   St. Stephen's Green   nearby, that means,   can take  r food   drinks  re! Delicious food, lovely green grass, can't find a  tter afternoon in Dublin."
5,HJNG5ZHlC-RnYdUc1t4kHQ,Daire S.,20/6/2016,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café," ir s wiches   amazing.  's a small l tle place great for picking up a tasty lunch that will keep   full for   rest of   day.  s a tiny l tle spot w h no space   s  (except for   green  nch outside) but   doesn't seem     cramped as  y   always super fast   efficient in  ting    r s wich. I   no idea how  y can charge so l tle for  ir s wiches.  y   crammed w h delicious things; if   were   buy a s wich in somewhere like O'Briens   might cost   same but   ingredients  re   Tesco everyday range level of qual y.

If I lived closer     Green  nch I would eat  re everyday."
6,OtaIo3d5GppPVV2chILiCw,Yvonne B.,27/2/2016,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"Go     a s wich here. Or salad. Just do  .   doesn't matter which one    ,  y   all amazing   such good value, just go   do  .   while  're  re,   some carrot cake as well.   know   want  .
  don't let   queue outside put   off,     moving really fast.  ,   may think by   time  's  r turn   staff will   all grumpy   stressed but     wrong:  y   a genuinely lovely bunch w h big smiles on  ir faces. Now go on     fed!"
7,VIvQcMimOGLmc_BBGcpvEQ,Sean O.,17/6/2016,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"While   staff in Hatch amuse  mselves arranging things on a plate, talking   each o r,   not bringing things    r table,   team at Green  nch serve what may      st s wiches in Dublin   hundreds of people an hour during   lunchtime rush.

Not a fair compar on by any means, but I was struck by how brilliant   ordering process   here ( 's takeaway only)   how fabulous   s wiches  .  cause I had one of  ir sausage s wiches, I was reminded of Hatch, add  y do indeed serve a good one.... Eventually.

Anyway, I underst  why  y're   queues out   door. Brilliant."
8,I1QEBT1so7SHx-XPQd0s6A,Marie R.,24/2/2016,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"More often than not th    were I   my morning coffee   try   res t buying a baked good.  y   SO good. I just had a banana bread   carrot cake  day     was    st  minutes of my year so far.
  s wiches, salads   soups   worth queueing for. So tasty   full of goodness.  y know what  y   doing.
Oh     sausage rolls on Fridays.  re   go I'm drooling.
Service   ok.   food makes me forgive anything anyway. I'm joining   queue of   healthy looking guys in su s."
9,oXVH7xCOr_eAOQO2OfJAtg,Kevin C.,25/8/2015,jO5EkqNn6IiypNfAAr_WfA,Green Bench Café,"I can't  lieve I only d covered th  place a month ago! What   I  en doing w h my life?   Green  nch Café deserves all   pra e  's  en  ting    n some.    st goddamn s wiches     likely   find in our fair c y. I will   utterly shocked if   can find me one  tter. Vibrant, fresh ingredients w h superb combinations that   sure     a highlight of anyone's day.   different sauces  y use   match   so ridiculously flavoursome, that I'd probably....no..I would, give up my first born for   recipes! If I wasn't so full of pra e for th  place, I'd   ashamed   adm  that I ate here  times in one week.   would    en five if I'd  en working!

I've sampled  :

Hereford Prime roast r   ef w/ curry Mayo, carrot/mange  ut/pepper salad, cheddar    ef was just perfect. Great flavour   fall apart tender.   curry mayo complemented   wonderfully   accompanying ingredients set   over   edge.

Turkey & Ham w/ herb stuffing, yoghurt Mayo, slaw, avocado & rocket   If   think th    just ano r bog st ard ham s wich,     wrong...Dead wrong!   only time I'm going   eat a ham   turkey s wich      days   proceeds Xmas.  's a sad day in my house when   turkey   ham run out at Xmas. Fear not! Th  place does    st turkey   ham s wich I've ever tasted! Sorry Mam, but   Green  nch Café do    tter than anyone. (Thankfully, she'll never read th )

Sausage & Pota  Rosti w/ roasted red peppers, slaw.....Awh who c s! Did   not just read Sausages   Pota  Rosti's in a s wich?!  se   FAT proper sausages  o. No sign of those shrivelled, l tle buggers.   rosti rocked...all round  p notch stuff!  y only do   on a Friday so if  've had one  o many on a Thursday night     in work on Friday? Th  s wich will cure any hangover, I guarantee  . Do  rself a favour   head over  re for th  s wich next Friday.   will not regret  .

Luckily for me, my lunchtime usually h s at about ., so I'm in   out in five minutes. Happy days!

I suggest   arrive hungry  cause  se s wiches   not for   faint hearted! I'm usually against  ting a s wich for my lunch  cause  're left starving two hours later.  se bad boys? I had one a day for my DINNER!

   st part of all? All   s wiches   only €..  'll probably spend €. for a hot chicken fillet roll in centra, right? For € extra,     treated      st s wich in Dublin. Don't   an idiot. GO  RE."
